Ort;Ort-Art;Insgesamt;Pkw;Lkw;Zugmaschinen;Kraftraeder
Rhein-Kreis Neuss;;317762;271270;17608;4934;22576
Viersen;Landkreis;221752;186490;12535;5690;15577
Wesel;Landkreis;331065;282851;14816;7106;24159
Köln;Regierungsbezirk;2975199;2477356;211183;55832;214652
Bonn;Kreisfreie Stadt;263072;174990;74905;836;11049
Köln;Kreisfreie Stadt;559093;482847;31012;3132;38700
Leverkusen;Kreisfreie Stadt;102748;89605;4368;806;7346
Städteregion Aachen (einschl. Stadt Aachen);;338090;290230;15716;5508;24793
Aachen;Kreisfreie Stadt;130246;112882;5977;1148;9325
Aachen;Landkreis;;;;;
Düren;Landkreis;191659;159905;9271;5743;15512
Rhein-Erft-Kreis;;325381;276885;17940;4774;24086
Euskirchen;Landkreis;157952;128368;8998;7851;11833
Heinsberg;Landkreis;187257;157882;9279;5280;13791
Oberbergischer Kreis;;210621;175587;9849;8108;15940
Rheinisch-Bergischer Kreis;;209889;178601;9293;3598;17542
Rhein-Sieg-Kreis;;429437;362456;20552;10196;34060
Münster;Regierungsbezirk;1757294;1482290;84985;56119;123380
Bottrop;Kreisfreie Stadt;78027;67632;3171;786;6145
Gelsenkirchen;Kreisfreie Stadt;139528;121583;6976;999;9158
Münster;Kreisfreie Stadt;168450;145681;8788;2496;10498
Borken;Landkreis;269343;221053;16567;13217;16476
Coesfeld;Landkreis;167950;137930;8140;8228;12422
Recklinghausen;Landkreis;405577;350049;15735;5674;32199
Steinfurt;Landkreis;324628;268892;16488;14931;22224
Warendorf;Landkreis;203791;169470;9120;9788;14258
Detmold;Regierungsbezirk;1467547;1235699;75895;49983;97709
Bielefeld;Kreisfreie Stadt;193730;169108;10043;1885;11673
Gütersloh;Landkreis;271173;225416;15936;10300;17888
Herford;Landkreis;187786;160386;9402;4406;12711
Höxter;Landkreis;109380;88125;5047;7354;8103
Lippe;Landkreis;251762;213881;11608;6948;17876
Minden-Lübbecke;Landkreis;239151;199394;13391;10140;14909
Paderborn;Landkreis;214565;179389;10468;8950;14549
Arnsberg;Regierungsbezirk;2403602;2050835;111227;52757;176313
Bochum;Kreisfreie Stadt;228126;197114;13429;1151;15491
Dortmund;Kreisfreie Stadt;327403;286461;14508;2242;22826
Hagen;Kreisfreie Stadt;113219;97430;5245;1245;8636
Hamm;Kreisfreie Stadt;110465;95930;5117;1808;6986
Herne;Kreisfreie Stadt;87756;76627;3878;317;6406
Ennepe-Ruhr-Kreis;;231048;196117;10003;3388;20369
Hochsauerlandkreis;;199198;164424;9896;9617;13916
Märkischer Kreis;;292878;250554;12722;6273;21769
Olpe;Landkreis;106885;88395;5705;4767;7470
Siegen-Wittgenstein;Landkreis;209031;174015;9422;9359;15158
Soest;Landkreis;223614;187235;9926;8843;16234
Unna;Landkreis;273979;236533;11376;3747;21052
Hessen;Bundesland;4433686;3703192;219396;149749;333883
Darmstadt;Regierungsbezirk;2738888;2333522;139040;56031;193887
Darmstadt;Kreisfreie Stadt;83278;72744;3901;660;5516
Frankfurt am Main;Kreisfreie Stadt;385701;336413;23480;1762;21396
Offenbach am Main;Kreisfreie Stadt;64033;55974;3523;452;3767
Wiesbaden;Landeshauptstadt;169849;145221;8901;1838;10718
Bergstraﬂe;Landkreis;205834;170925;10152;6058;17482
Darmstadt-Dieburg;Landkreis;222753;186019;10711;6352;18735
Groﬂ-Gerau;Landkreis;201497;173912;9143;2971;14522
Hochtaunuskreis;;191750;166679;8581;3491;12292
Main-Kinzig-Kreis;;303926;254160;14986;9802;23249
Main-Taunus-Kreis;;217669;188700;14120;2042;12039
Odenwaldkreis;;76246;61715;3432;4282;6134
Offenbach;Landkreis;244757;212412;11574;2149;17723
Rheingau-Taunus-Kreis;;144852;120286;5799;5257;12794
Wetteraukreis;;226743;188362;10737;8915;17520
Gieﬂen;Regierungsbezirk;773901;633623;36670;37433;61042
Gieﬂen;Landkreis;181450;151188;9490;6207;13354
Lahn-Dill-Kreis;;193775;160993;8992;7175;15568
Limburg-Weilburg;Landkreis;133504;110013;6960;4842;10788
Marburg-Biedenkopf;Landkreis;172036;140523;7139;9629;13565
Vogelsbergkreis;;93136;70906;4089;9580;7767
Kassel;Regierungsbezirk;920897;736047;43686;56285;78954
Kassel;Kreisfreie Stadt;103534;89343;6264;1044;6247
Fulda;Landkreis;179008;139762;9053;12600;16444
Hersfeld-Rotenburg;Landkreis;99440;77695;4868;7537;8625
Kassel;Landkreis;180240;147167;8400;8125;15617
Schwalm-Eder-Kreis;;147778;116937;5752;10419;13637
Waldeck-Frankenberg;Landkreis;132008;103081;5987;10694;11347
Werra-Meiﬂner-Kreis;;78889;62062;3362;5866;7037
Rheinland-Pfalz;Bundesland;3090622;2520846;149831;150507;248845
Koblenz;Stat. Region;1177838;956166;60433;58612;94880
Koblenz;Kreisfreie Stadt;72869;62171;4608;846;4609
Ahrweiler;Landkreis;104385;84068;5359;5682;8681
Altenkirchen (Westerwald);Landkreis;102097;82518;4771;4972;9010
Bad Kreuznach;Landkreis;122481;98410;6725;6981;9542
Birkenfeld;Landkreis;62818;51648;2875;3087;4766
Cochem-Zell;Landkreis;53902;40774;2578;5502;4663
Mayen-Koblenz;Landkreis;165238;136646;8450;6235;13091
Neuwied;Landkreis;142465;117620;7357;5345;11369
Rhein-Hunsrück-Kreis;;88323;69014;4682;6820;7041
Rhein-Lahn-Kreis;;97399;79090;4376;4749;8580
Westerwaldkreis;;165861;134207;8652;8393;13528
Trier;Stat. Region;423969;328696;21393;35038;35648
Trier;Kreisfreie Stadt;61281;51908;3425;800;4688
Bernkastel-Wittlich;Landkreis;95924;73624;4978;9243;7327
Eifelkreis Bitburg-Prüm;;87829;64925;4621;10079;7325
Vulkaneifel;Landkreis;54357;40506;2939;5643;4802
Trier-Saarburg;Landkreis;124578;97733;5430;9273;11506
Rheinhessen-Pfalz;Stat. Region;1488815;1235984;68005;56857;118317
Frankenthal (Pfalz);Kreisfreie Stadt;30837;26661;1410;555;2050
Kaiserslautern;Kreisfreie Stadt;56110;48939;2765;439;3552
Landau in der Pfalz;Kreisfreie Stadt;32267;27240;1626;899;2320
Ludwigshafen am Rhein;Kreisfreie Stadt;95023;82216;4801;780;6416
Mainz;Kreisfreie Stadt;115012;99401;5442;1060;7309
Neustadt an der Weinstraﬂe;Kreisfreie Stadt;38759;32476;2146;1147;2805
Pirmasens;Kreisfreie Stadt;26521;22746;1488;394;1696
Speyer;Kreisfreie Stadt;33983;29060;1684;304;2592
Worms;Kreisfreie Stadt;53802;45369;2974;1315;3897
Zweibrücken;Kreisfreie Stadt;24678;20836;1193;499;1891
Alzey-Worms;Landkreis;105613;83849;4772;7388;9124
Bad Dürkheim;Landkreis;108077;89475;4560;4556;8956
Donnersbergkreis;;61167;49251;2510;3741;5266
Germersheim;Landkreis;99551;81861;4486;4379;8290
Kaiserslautern;Landkreis;82062;67699;4018;2911;6891
Kusel;Landkreis;57760;47074;2078;3457;4884
Südliche Weinstraﬂe;Landkreis;96901;75715;4544;7635;8272
Rhein-Pfalz-Kreis;;120539;100711;5242;3474;10641
Mainz-Bingen;Landkreis;168153;138962;6983;7637;13889
Südwestpfalz;Landkreis;82000;66443;3283;4287;7576
Baden-Württemberg;Bundesland;8111142;6626660;374479;379439;687913
Stuttgart;Regierungsbezirk;3062456;2530352;136132;128203;253511
Stuttgart;Landeshauptstadt;347839;301793;16417;3035;24664
Böblingen;Landkreis;295936;253000;10621;7357;23804
Esslingen;Landkreis;395241;329698;17850;11009;34988
Göppingen;Landkreis;199305;163772;9274;8145;17279
Ludwigsburg;Landkreis;392994;329497;18099;11324;32604
Rems-Murr-Kreis;Landkreis;319760;262043;15544;12909;27864
Heilbronn;Stadtkreis;77759;66712;4324;1787;4468
Heilbronn;Landkreis;294166;241465;12557;15177;23731
Hohenlohekreis;Landkreis;105293;81994;4232;9544;8928
Schwäbisch Hall;Landkreis;165654;126915;7893;15544;14233
Main-Tauber-Kreis;Landkreis;115476;88162;4927;11784;10022
Heidenheim;Landkreis;100423;82491;3867;4869;8645
Ostalbkreis;Landkreis;252610;202810;10527;15719;22281
Karlsruhe;Regierungsbezirk;1944785;1624945;92170;62145;154888
Baden-Baden;Stadtkreis;41085;34474;2310;999;3011
Karlsruhe;Stadtkreis;165121;140712;9132;1488;12143
Karlsruhe;Landkreis;332074;276059;15154;11466;27968
Rastatt;Landkreis;181894;149919;7908;7225;16089
Heidelberg;Stadtkreis;69544;60415;3347;691;4665
Mannheim;Stadtkreis;176482;151038;11503;1284;11347
Neckar-Odenwald-Kreis;Landkreis;116566;92803;5052;8369;9709
Rhein-Neckar-Kreis;Landkreis;409964;349018;17700;9972;31577
Pforzheim;Stadtkreis;69792;61278;3252;574;4343
Calw;Landkreis;127811;103052;5991;7123;10726
Enzkreis;Landkreis;158830;130447;6567;6383;14861
Freudenstadt;Landkreis;95622;75730;4254;6571;8449
Freiburg;Regierungsbezirk;1653227;1326096;79990;92553;145205
Freiburg im Breisgau;Stadtkreis;109310;92378;6379;1394;8300
Breisgau-Hochschwarzwald;Landkreis;198854;156737;10343;13539;16577
Emmendingen;Landkreis;126266;99576;6373;8489;11128
Ortenaukreis;Landkreis;336779;268191;17300;20880;28733
Rottweil;Landkreis;117270;92429;5115;8479;10564
Schwarzwald-Baar-Kreis;Landkreis;159220;129846;7483;7524;13583
Tuttlingen;Landkreis;108081;87166;4421;6457;9522
Konstanz;Landkreis;195788;158401;8692;7728;20004
Lörrach;Landkreis;166960;135442;7619;8003;15124
Waldshut;Landkreis;134699;105930;6265;10060;11670
Tübingen;Regierungsbezirk;1450674;1145267;66187;96538;134309
Reutlingen;Landkreis;219803;177579;10101;12181;18813
Tübingen;Landkreis;150034;123899;5730;6622;13094
Zollernalbkreis;Landkreis;158280;126329;7344;10552;13139
Ulm;Stadtkreis;78338;66213;4166;1507;5708
Alb-Donau-Kreis;Landkreis;162500;125548;6984;13882;15032
Biberach;Landkreis;167976;128578;8090;15030;15257
Bodenseekreis;Landkreis;173627;135966;7301;9554;19971
Ravensburg;Landkreis;229325;176494;11554;17127;22887
Sigmaringen;Landkreis;110791;84661;4917;10083;10408
Bayern;Bundesland;10150608;7973421;489299;676597;944258
Oberbayern;Regierungsbezirk;3414688;2760670;162121;157882;311206
Ingolstadt;;111775;97955;3255;1488;8346
München;Landeshauptstadt;838726;725690;38210;4681;63277
Rosenheim;;41211;34480;2292;629;3486
Altötting;Landkreis;88929;69628;3957;5777;8892
Berchtesgadener Land;Landkreis;80908;64182;3435;4729;8020
Bad Tölz-Wolfratshausen;Landkreis;101648;78997;5405;6600;10067
Dachau;Landkreis;115737;91127;5728;5828;12361
Ebersberg;Landkreis;104012;83357;4700;5625;9761
Eichstätt;Landkreis;109728;82495;4091;10024;12492
Erding;Landkreis;114734;87593;5522;9732;11017
Freising;Landkreis;137215;107160;7025;8762;13332
Fürstenfeldbruck;Landkreis;148330;121748;7198;4321;14350
Garmisch-Partenkirchen;Landkreis;67088;51469;3467;4475;7315
Landsberg am Lech;Landkreis;103693;80133;4232;7498;11255
Miesbach;Landkreis;82852;64916;4365;4887;8207
Mühldorf a.Inn;Landkreis;96235;72834;4637;8867;9204
München;Landkreis;291820;245522;17391;4777;22000
Neuburg-Schrobenhausen;Landkreis;85361;64035;4140;7798;8838
Pfaffenhofen a.d.Ilm;Landkreis;109181;82140;5362;9138;12036
Rosenheim;Landkreis;217541;168325;11336;15573;21110
Starnberg;Landkreis;104527;86177;4457;3295;10020
Traunstein;Landkreis;149560;114157;6815;13322;14216
Weilheim-Schongau;Landkreis;113877;86550;5101;10056;11604
Niederbayern;Regierungsbezirk;1071038;795573;51204;111029;105737
Landshut;;43337;36926;1774;691;3706
Passau;;34443;27959;2301;812;3052
Straubing;;32049;27026;1888;661;2234
Deggendorf;Landkreis;102509;76737;5331;9736;9935
Freyung-Grafenau;Landkreis;74941;51759;3090;10836;8691
Kelheim;Landkreis;104189;78799;4839;9368;10466
Landshut;Landkreis;141943;106058;7208;13763;14001
Passau;Landkreis;170404;125328;7681;18370;17854
Regen;Landkreis;68641;49084;3087;8954;7075
Rottal-Inn;Landkreis;115209;81199;6200;15504;11343
Straubing-Bogen;Landkreis;94029;67340;4145;12944;9017
Dingolfing-Landau;Landkreis;89344;67358;3660;9390;8363
Oberpfalz;Regierungsbezirk;955583;717689;49140;86999;95155
Amberg;;29029;24754;1340;600;2162
Regensburg;;109178;89167;10750;1314;7023
Weiden i.d.OPf.;;31139;25983;1829;663;2458
Amberg-Sulzbach;Landkreis;92700;69114;3636;10114;9203
Cham;Landkreis;125066;86814;6476;17368;13490
Neumarkt i.d.OPf.;Landkreis;118876;87110;6301;12293;12366
Neustadt a.d.Waldnaab;Landkreis;87491;63970;3204;10611;9145
Regensburg;Landkreis;162188;124190;7298;12270;17467
Schwandorf;Landkreis;133376;98301;5496;13734;14935
Tirschenreuth;Landkreis;66540;48286;2810;8032;6906
Oberfranken;Regierungsbezirk;876749;681054;40317;66358;82476
Bamberg;;49496;40355;2999;1128;4330
Bayreuth;;46576;39186;2933;741;3301
Coburg;;29291;24868;1438;337;2425
Hof;;29745;25025;1579;700;2169
Bamberg;Landkreis;130844;99565;5794;11420;13403
Bayreuth;Landkreis;96569;70405;3739;11688;9829
Coburg;Landkreis;73404;57785;3180;5125;6947
Forchheim;Landkreis;100033;76768;3787;8795;10030
Hof;Landkreis;81544;62783;3970;6928;7168
Kronach;Landkreis;58298;44919;2633;4666;5598
Kulmbach;Landkreis;63849;48866;3029;5672;5902
Lichtenfels;Landkreis;58090;43946;2934;5102;5708
Wunsiedel i.Fichtelgebirge;Landkreis;59010;46583;2302;4056;5666
Mittelfranken;Regierungsbezirk;1283643;1021764;62279;77438;114686
Ansbach;;30310;25134;1390;1186;2404
Erlangen;;63735;54859;2465;803;5231
Fürth;;73325;62480;3655;778;5992
Nürnberg;;290620;244837;18585;3426;22071
Schwabach;;30633;25888;1330;510;2764
Ansbach;Landkreis;169329;122224;7672;22314;15899
Erlangen-Höchstadt;Landkreis;110152;90300;3882;5517;9926
Fürth;Landkreis;92580;75595;4184;3402;9042
Nürnberger Land;Landkreis;136690;108742;5825;7957;13520
Neustadt a.d.Aisch-Bad Windsheim;Landkreis;90745;65742;4236;11962;8206
Roth;Landkreis;112200;84955;5628;9261;11651
Weiﬂenburg-Gunzenhausen;Landkreis;83324;61008;3427;10322;7980
Unterfranken;Regierungsbezirk;1064936;842980;53745;68245;92992
Aschaffenburg;;52642;44752;3536;536;3431
Schweinfurt;;32612;28156;1803;363;2049
Würzburg;;77240;63920;5853;863;5953
Aschaffenburg;Landkreis;141553;115729;7713;5557;11808
Bad Kissingen;Landkreis;90613;69272;4192;8542;7951
Rhön-Grabfeld;Landkreis;70894;53485;3091;7182;6598
Haﬂberge;Landkreis;76147;57193;3441;7924;7023
Kitzingen;Landkreis;79460;60520;3737;7388;7182
Miltenberg;Landkreis;102742;83493;5295;5027;8351
Main-Spessart;Landkreis;109918;84284;5381;9108;10418
Schweinfurt;Landkreis;98980;77389;3910;7438;9582
Würzburg;Landkreis;132135;104787;5793;8317;12646
Schwaben;Regierungsbezirk;1483971;1153691;70493;108646;142006
Augsburg;;158009;136121;7817;1259;11832
Kaufbeuren;;28707;24543;1179;365;2475
Kempten (Allgäu);;46059;38765;2173;906;3810
Memmingen;;30696;25887;1596;786;2251
Aichach-Friedberg;Landkreis;112886;85118;6188;8712;12146
Augsburg;Landkreis;205666;162408;10229;11974;19925
Dillingen a.d.Donau;Landkreis;84833;63654;4136;8716;7841
Günzburg;Landkreis;107389;82410;5412;9059;9646
Neu-Ulm;Landkreis;133577;108000;6214;6132;12494
Lindau (Bodensee);Landkreis;67675;51577;2872;4758;8142
Ostallgäu;Landkreis;123705;89706;5333;15414;12625
Unterallgäu;Landkreis;131257;96528;5649;15124;13163
Donau-Ries;Landkreis;120965;89861;5530;13581;11142
Oberallgäu;Landkreis;132547;99113;6165;11860;14514
Saarland;Bundesland;755593;636176;36130;18574;60348
Saarbrücken;Regionalverband;223100;190320;11756;2191;17363
Saarbrücken;Landeshauptstadt;110739;94883;6395;814;7819
Merzig-Wadern;Landkreis;85927;70220;3838;4467;6825
Neunkirchen;Landkreis;100589;85484;4838;1817;7959
Saarlouis;Landkreis;156049;131971;7010;3787;12367
Saarpfalz-Kreis;;115131;97092;5642;2856;8963
St. Wendel;Landkreis;74797;61089;3046;3456;6871
Berlin;Bundesland;1434141;1210790;100659;6503;105305
Berlin-Mitte;;;;;;
Berlin-Friedrichshain-Kreuzberg;;;;;;
Berlin-Pankow;;;;;;
Berlin-Charlottenburg-Wilmersdorf;;;;;;
Berlin-Spandau;;;;;;
Berlin-Steglitz-Zehlendorf;;;;;;
Berlin-Tempelhof-Schöneberg;;;;;;
Berlin-Neukölln;;;;;;
Berlin-Treptow-Köpenick;;;;;;
Berlin-Marzahn-Hellersdorf;;;;;;
Berlin-Lichtenberg;;;;;;
Berlin-Reinickendorf;;;;;;
Brandenburg;Bundesland;1759920;1423631;139176;51283;130406
Brandenburg an der Havel;Kreisfreie Stadt;40025;34241;2829;388;2285
Cottbus;Kreisfreie Stadt;56971;48530;4137;709;3094
Frankfurt (Oder);Kreisfreie Stadt;33743;28119;3084;418;1843
Potsdam;Kreisfreie Stadt;86761;74974;5515;476;5222
Barnim;Landkreis;127564;103916;9824;2308;10667
Dahme-Spreewald;Landkreis;127104;101804;10497;4141;9620
Elbe-Elster;Landkreis;80991;63496;6370;4582;5738
Havelland;Landkreis;113305;92209;8612;2309;9251
Märkisch-Oderland;Landkreis;143570;115158;11918;3773;11590
Oberhavel;Landkreis;148302;120459;11406;2898;12601
Oberspreewald-Lausitz;Landkreis;80295;65552;5806;2821;5431
Oder-Spree;Landkreis;130141;106151;10191;3636;9173
Ostprignitz-Ruppin;Landkreis;73779;57744;6565;3341;5293
Potsdam-Mittelmark;Landkreis;156968;126318;12488;4694;12026
Prignitz;Landkreis;58247;45173;5255;3603;3527
Spree-Neiﬂe;Landkreis;88438;70530;7181;3473;6364
Teltow-Fläming;Landkreis;127990;101214;11047;3600;10561
Uckermark;Landkreis;85726;68043;6451;4113;6120
Mecklenburg-Vorpommern;Bundesland;1055176;856882;83401;35986;68650
Kreisfreie Stadt Greifswald;Hansestadt;;;;;
Kreisfreie Stadt Neubrandenburg;Stadt;;;;;
Kreisfreie Stadt Rostock;Hansestadt;96564;84459;5752;1061;4696
Kreisfreie Stadt Schwerin;Landeshauptstadt;50214;43660;3271;282;2040
Kreisfreie Stadt Stralsund;Hansestadt;;;;;
Kreisfreie Stadt Wismar;Hansestadt;;;;;
Landkreis Bad Doberan;;;;;;
Landkreis Demmin;;;;;;
Landkreis Güstrow;;;;;;
Landkreis Ludwigslust;;;;;;
Landkreis Mecklenburg-Strelitz;;;;;;
Landkreis Müritz;;;;;;
Landkreis Nordvorpommern;;;;;;
Landkreis Nordwestmecklenburg;;;;;;
Landkreis Ostvorpommern;;;;;;
Landkreis Parchim;;;;;;
Landkreis Rügen;;;;;;
Landkreis Uecker-Randow;;;;;;
Landkreis Mecklenburgische Seenplatte;;179679;143288;15363;6852;12387
Landkreis Rostock;;155854;123985;13742;6162;10356
Landkreis Vorpommern-Rügen;;148533;121282;12157;4444;9246
Landkreis Nordwestmecklenburg;;110861;88971;8746;4143;7997
Landkreis Vorpommern-Greifswald;;153088;124481;11486;4992;10771
Landkreis Ludwigslust-Parchim;;160383;126756;12884;8050;11157
Sachsen;Bundesland;2604833;2148960;194868;64209;176496
Chemnitz;Regierungsbezirk;;;;;
Chemnitz;Kreisfreie Stadt;;;;;
Plauen;Kreisfreie Stadt;;;;;
Zwickau;Kreisfreie Stadt;;;;;
Annaberg;Landkreis;;;;;
Chemnitzer Land;Landkreis;;;;;
Freiberg;Landkreis;;;;;
Vogtlandkreis;;;;;;
Mittlerer Erzgebirgskreis;;;;;;
Mittweida;Landkreis;;;;;
Stollberg;Landkreis;;;;;
Aue-Schwarzenberg;Landkreis;;;;;
Zwickauer Land;Landkreis;;;;;
Dresden;Regierungsbezirk;;;;;
Dresden;Kreisfreie Stadt;;;;;
Görlitz;Kreisfreie Stadt;;;;;
Hoyerswerda;Kreisfreie Stadt;;;;;
Bautzen;Landkreis;;;;;
Meiﬂen;Landkreis;;;;;
Niederschlesischer Oberlausitzkreis;;;;;;
Riesa-Groﬂenhain;Landkreis;;;;;
Löbau-Zittau;Landkreis;;;;;
Sächsische Schweiz;Landkreis;;;;;
Weiﬂeritzkreis;;;;;;
Kamenz;Landkreis;;;;;
Leipzig;Regierungsbezirk;;;;;
Leipzig;Kreisfreie Stadt;;;;;
Delitzsch;Landkreis;;;;;
Döbeln;Landkreis;;;;;
Leipziger Land;Landkreis;;;;;
Muldentalkreis;;;;;;
Torgau-Oschatz;Landkreis;;;;;
Chemnitz;Stat. Region;1013118;828290;76186;27751;73399
Chemnitz;Stadt;145486;125328;9934;1247;7966
Erzgebirgskreis;;250162;202121;18649;7066;20515
Mittelsachsen;Landkreis;223392;179114;17444;7924;16989
Vogtlandkreis;;169327;136734;13184;6113;12032
Zwickau;Landkreis;224751;184993;16975;5401;15897
Dresden;Stat. Region;1001765;827066;75479;24714;66220
Dresden;Stadt;262365;226278;17932;1196;14914
Bautzen;Landkreis;221744;179717;17266;7640;15283
Görlitz;Landkreis;174938;142911;12500;6018;12014
Meiﬂen;Landkreis;168177;136708;14125;4912;10913
Sächsische Schweiz-Osterzgebirge;Landkreis;174541;141452;13656;4948;13096
Leipzig;Stat. Region;589950;493604;43203;11744;36877
Leipzig;Stadt;259804;227314;15804;1316;13659
Leipzig;Landkreis;187128;151810;15113;5518;13228
Nordsachsen;Landkreis;143018;114480;12286;4910;9990
Sachsen-Anhalt;Bundesland;1469499;1210884;107437;44608;93303
Dessau-Roﬂlau;Kreisfreie Stadt;48906;42131;2999;584;2906
Halle (Saale);Kreisfreie Stadt;107343;93915;6735;619;5436
Magdeburg;Kreisfreie Stadt;127101;111076;8330;815;5734
Altmarkkreis Salzwedel;;64710;50516;5036;4034;4238
Anhalt-Bitterfeld;Landkreis;112010;92503;8271;3049;6991
Börde;Landkreis;130309;105068;9831;5452;8759
Burgenlandkreis;;125532;101799;9262;4654;8721
Harz;Landkreis;148338;122575;10804;4360;9502
Jerichower Land;Landkreis;67824;54310;5620;2551;4553
Mansfeld-Südharz;Landkreis;98365;79807;6743;3863;7071
Saalekreis;;139771;113461;11284;3915;9768
Salzlandkreis;;126483;105119;8607;3363;8363
